Edges,Nodes,Density,Components,Min_spl,Max_spl,Median_spl,Mean_spl,Sd_spl,Min_bc,Max_bc,Median_bc,Mean_bc,Sd_bc,Min_cc,Max_cc,Median_cc,Mean_cc,Sd_cc,Min_dc,Max_dc,Median_dc,Mean_dc,Sd_dc
324,201,0.008,77,0,33,11,11.367,6.595,0,0.192,0.002,0.017,0.03,0,0.091,0.031,0.034,0.022,0,0.045,0.015,0.016,0.006
1753,830,0.002,85,0,30,12,11.631,3.816,0,0.279,0.003,0.01,0.027,0,0.15,0.076,0.074,0.025,0,0.193,0.003,0.005,0.01
328,213,0.007,91,0,30,10,10.48,5.278,0,0.109,0.003,0.016,0.025,0,0.084,0.045,0.037,0.024,0,0.028,0.014,0.014,0.005
1963,1097,0.001,203,0,36,14,13.917,4.733,0,0.113,0.004,0.008,0.013,0,0.111,0.06,0.054,0.024,0,0.031,0.002,0.003,0.002
8622,4076,0,128,0,51,13,13.186,4.389,0,0.278,0,0.002,0.01,0,0.141,0.077,0.075,0.017,0,0.04,0,0.001,0.001
336,198,0.008,62,0,29,10,10.196,5.183,0,0.264,0.009,0.026,0.041,0,0.128,0.067,0.058,0.035,0,0.071,0.015,0.017,0.008
22131,10724,0,1640,0,43,11,11.749,3.793,0,0.176,0,0,0.004,0,0.139,0.077,0.072,0.025,0,0.03,0,0,0
34761,16825,0,1826,0,167,13,15.432,10.529,0,0.224,0,0,0.004,0,0.109,0.067,0.062,0.021,0,0.012,0,0,0
407,261,0.005,109,0,28,10,10.5,5.141,0,0.19,0.002,0.014,0.027,0,0.095,0.046,0.041,0.025,0,0.05,0.011,0.011,0.005
29252,12964,0,801,0,34,9,9.404,2.955,0,0.213,0,0,0.005,0,0.188,0.105,0.102,0.028,0,0.046,0,0,0.001
46,46,0.022,43,0,7,2,2.126,1.759,0,0.017,0,0.003,0.004,0,0.094,0.031,0.033,0.022,0,0.088,0.044,0.044,0.021
863,452,0.004,100,0,30,10,10.886,5.717,0,0.316,0.004,0.015,0.033,0,0.178,0.078,0.072,0.038,0,0.079,0.006,0.008,0.007
41333,19459,0,1688,0,58,12,13.202,4.745,0,0.327,0,0,0.005,0,0.143,0.076,0.071,0.022,0,0.029,0,0,0
1885,969,0.002,258,0,39,10,10.208,4.094,0,0.155,0.001,0.005,0.013,0,0.121,0.069,0.057,0.031,0,0.042,0.003,0.004,0.003
